indeks_katalogowy,nazwa,zdjecie,rozmiar,material,vat,cena_FV_brutto,cena_detal,stan_magazynowy,producent,opis_tekstowy,jednostka_wymiaru,szerokosc,wysokosc,ostatnia_aktualizacja
6449/2,"6449/2 OBRAZEK ANIOŁEK 11x9,5 CM",https://wikomistral.ddns.net/Obrazki/6449.2_6449.jpg,"11x9,5 cm",Mirosilver,23,93.48,224.35,309,Beltrami s.r.l.,,cm,"11,000","9,500",2025-11-01 02:42:15
6449/2PG,"6449/2PG OBRAZEK ANIOŁEK 14x12,5 CM",https://wikomistral.ddns.net/Obrazki/6449.2PG_6449PG.jpg,"14x12,5 cm",Mirosilver,23,101.66,223.65,0,Beltrami s.r.l.,,cm,"14,000","12,500",2025-11-01 02:42:15
6449/2W,6449/2W OBRAZEK ANIOŁEK 14x12 CM,https://wikomistral.ddns.net/Obrazki/6449.2W_6449W.jpg,14x12 cm,Mirosilver,23,100.49,221.08,114,Beltrami s.r.l.,,cm,"14,000","12,000",2025-11-01 02:42:15
6449/2WC,6449/2WC OBRAZEK ANIOŁEK 14x12 CM,https://wikomistral.ddns.net/Obrazki/6449.2WC_6449WC.jpg,14x12 cm,Mirosilver,23,100.49,221.08,18,Beltrami s.r.l.,,cm,"14,000","12,000",2025-11-01 02:42:15
6449/2WR,6449/2WR OBRAZEK ANIOŁEK 14x12 CM,https://wikomistral.ddns.net/Obrazki/6449.2WR_6449WR.jpg,14x12 cm,Mirosilver,23,100.49,221.08,4,Beltrami s.r.l.,,cm,"14,000","12,000",2025-11-01 02:42:15
6449/3,"6449/3 OBRAZEK ANIOŁEK 15,5x14 CM",https://wikomistral.ddns.net/Obrazki/6449.3_6449.jpg,"15,5x14 cm",Mirosilver,23,146.06,321.33,31,Beltrami s.r.l.,,cm,"15,500","14,000",2025-11-01 02:42:15
6449/3COL,"6449/3COL OBRAZEK ANIOŁEK 15,5x14 CM",https://wikomistral.ddns.net/Obrazki/6449.3COL_6449_C.jpg,"15,5x14 cm",Mirosilver,23,65.93,158.23,43,Beltrami s.r.l.,PROM,cm,"15,500","14,000",2025-11-01 02:42:15
6449/3W,6449/3W OBRAZEK ANIOŁEK 19x18 CM,https://wikomistral.ddns.net/Obrazki/6449.3W_6449W.jpg,19x18 cm,Mirosilver,23,161.25,322.50,28,Beltrami s.r.l.,,cm,"19,000","18,000",2025-11-01 02:42:15
6449/3WC,6449/3WC OBRAZEK ANIOŁEK 19x18 CM,https://wikomistral.ddns.net/Obrazki/6449.3WC_6449WC.jpg,19x18 cm,Mirosilver,23,161.25,322.50,4,Beltrami s.r.l.,,cm,"19,000","18,000",2025-11-01 02:42:15
6449/3WR,6449/3WR OBRAZEK ANIOŁEK 19x18 CM,https://wikomistral.ddns.net/Obrazki/6449.3WR_6449WR.jpg,19x18 cm,Mirosilver,23,161.25,322.50,0,Beltrami s.r.l.,,cm,"19,000","18,000",2025-11-01 02:42:15
6449/5,6449/5 OBRAZ ANIOŁEK 20x18 CM,https://wikomistral.ddns.net/Obrazki/6449.5_6449.jpg,20x18 cm,Mirosilver,23,216.17,432.34,18,Beltrami s.r.l.,,cm,"20,000","18,000",2025-11-01 02:42:15
6450/1,6450/1 OBRAZEK ANIOŁKI 8x7 CM,https://wikomistral.ddns.net/Obrazki/6450.1_6450.jpg,8x7 cm,Mirosilver,23,68.94,165.46,17,Beltrami s.r.l.,,cm,"8,000","7,000",2025-11-01 02:42:15
6450/2,"6450/2 OBRAZEK ANIOŁKI 11x9,5 CM",https://wikomistral.ddns.net/Obrazki/6450.2_6450.jpg,"11x9,5 cm",Mirosilver,23,93.48,224.35,155,Beltrami s.r.l.,,cm,"11,000","9,500",2025-11-01 02:42:15
6450/3,"6450/3 OBRAZEK ANIOŁKI 15,5x14 CM",https://wikomistral.ddns.net/Obrazki/6450.3_6450.jpg,"15,5x14 cm",Mirosilver,23,146.06,321.33,26,Beltrami s.r.l.,,cm,"15,500","14,000",2025-11-01 02:42:15
6451/1,6451/1 OBRAZEK ANIOŁKI 8x7 CM,https://wikomistral.ddns.net/Obrazki/6451.1_6451.jpg,8x7 cm,Mirosilver,23,68.94,165.46,29,Beltrami s.r.l.,,cm,"8,000","7,000",2025-11-01 02:42:15
6451/2,"6451/2 OBRAZEK ANIOŁKI 11x9,5 CM",https://wikomistral.ddns.net/Obrazki/6451.2_6451.jpg,"11x9,5 cm",Mirosilver,23,93.48,224.35,135,Beltrami s.r.l.,,cm,"11,000","9,500",2025-11-01 02:42:15
6451/2W,6451/2W OBRAZEK ANIOŁKI 14x12 CM,https://wikomistral.ddns.net/Obrazki/6451.2W_6451W.jpg,14x12 cm,Mirosilver,23,100.49,221.08,15,Beltrami s.r.l.,PROM,cm,"14,000","12,000",2025-11-01 02:42:15
6451/3,"6451/3 OBRAZEK ANIOŁKI 15,5x14 CM",https://wikomistral.ddns.net/Obrazki/6451.3_6451.jpg,"15,5x14 cm",Mirosilver,23,146.06,321.33,8,Beltrami s.r.l.,,cm,"15,500","14,000",2025-11-01 02:42:15
6465/2,6465/2 OBRAZ OSTATNIA WIECZERZA 24x12 CM,https://wikomistral.ddns.net/Obrazki/6465.2_6465.jpg,24x12 cm,Mirosilver,23,220.85,441.70,25,Beltrami s.r.l.,zamiennik 81221,cm,"24,000","12,000",2025-11-01 02:42:15
6465/2C,6465/2C OBRAZ OSTATNIA WIECZERZA 24x12    CM,https://wikomistral.ddns.net/Obrazki/6465.2C_6465CC.jpg,24x12 cm,Mirosilver,23,236.04,472.08,19,Beltrami s.r.l.,zamiennik 81221,cm,"24,000","12,000",2025-11-01 02:42:15
6465/2O,6465/2O OBRAZ OSTATNIA WIECZERZA 24x12    CM,https://wikomistral.ddns.net/Obrazki/6465.2O_6465O.jpg,24x12 cm,Mirosilver,23,229.03,458.06,27,Beltrami s.r.l.,zamiennik 81221,cm,"24,000","12,000",2025-11-01 02:42:15
6465/3,6465/3 OBRAZ OSTATNIA WIECZERZA 36x18 CM,https://wikomistral.ddns.net/Obrazki/6465.3_6465.jpg,36x18 cm,Mirosilver,23,445.20,801.36,0,Beltrami s.r.l.,zamiennik 81221,cm,"36,000","18,000",2025-11-01 02:42:15
6465/3C,6465/3C OBRAZ OSTATNIA WIECZERZA 36x18    CM,https://wikomistral.ddns.net/Obrazki/6465.3C_6465CC.jpg,36x18 cm,Mirosilver,23,475.58,856.04,3,Beltrami s.r.l.,zamiennik 81221,cm,"36,000","18,000",2025-11-01 02:42:15
6465/3O,6465/3O OBRAZ OSTATNIA WIECZERZA 36x18    CM,https://wikomistral.ddns.net/Obrazki/6465.3O_6465O.jpg,36x18 cm,Mirosilver,23,460.39,828.70,1,Beltrami s.r.l.,zamiennik 81221,cm,"36,000","18,000",2025-11-01 02:42:15
6465/7,6465/7 OBRAZ OSTATNIA WIECZERZA 50x25 CM,https://wikomistral.ddns.net/Obrazki/6465.7_6465.jpg,50x25 cm,Mirosilver,23,820.29,1476.52,5,Beltrami s.r.l.,zamiennik 81237,cm,"50,000","25,000",2025-11-01 02:42:15
6465/7C,6465/7C OBRAZ OSTATNIA WIECZERZA 50x25    CM,https://wikomistral.ddns.net/Obrazki/6465.7C_6465CC.jpg,50x25 cm,Mirosilver,23,877.54,1579.57,7,Beltrami s.r.l.,zamiennik 81237,cm,"50,000","25,000",2025-11-01 02:42:15
6465/7O,6465/7O OBRAZ OSTATNIA WIECZERZA 50x25    CM,https://wikomistral.ddns.net/Obrazki/6465.7O_6465O.jpg,50x25 cm,Mirosilver,23,848.33,1526.99,7,Beltrami s.r.l.,zamiennik 81237,cm,"50,000","25,000",2025-11-01 02:42:15
6465/8,6465/8 OBRAZ OSTATNIA WIECZERZA 65x32 CM,https://wikomistral.ddns.net/Obrazki/6465.8_6465.jpg,65x32 cm,Mirosilver,23,1318.07,2372.53,3,Beltrami s.r.l.,zamiennik 81237,cm,"65,000","32,000",2025-11-01 02:42:15
6465/8C,6465/8C OBRAZ OSTATNIA WIECZERZA 65x32    CM,https://wikomistral.ddns.net/Obrazki/6465.8C_6465CC.jpg,65x32 cm,Mirosilver,23,1410.38,2538.68,6,Beltrami s.r.l.,zamiennik 81237,cm,"65,000","32,000",2025-11-01 02:42:15
6465/8O,6465/8O OBRAZ OSTATNIA WIECZERZA 65x32    CM,https://wikomistral.ddns.net/Obrazki/6465.8O_6465O.jpg,64x42 cm,Mirosilver,23,1363.64,2454.55,2,Beltrami s.r.l.,zamiennik 81237,cm,"64,000","42,000",2025-11-01 02:42:15
6466/2,"6466/2 OBRAZEK ŚW. RODZINA 7,5x10 CM",https://wikomistral.ddns.net/Obrazki/6466.2_Nowy obraz 6466zm.jpg,"7,5x10 cm",Mirosilver,23,86.47,207.53,27,Beltrami s.r.l.,,cm,"7,500","10,000",2025-11-01 02:42:15
6466/2X,"6466/2X OBRAZEK ŚW. RODZINA 9,5x13 CM",https://wikomistral.ddns.net/Obrazki/6466.2X_Nowy obraz 6466zm.jpg,"9,5x13 cm",Mirosilver,23,116.85,257.07,12,Beltrami s.r.l.,,cm,"9,500","13,000",2025-11-01 02:42:15
6466/3,"6466/3 OBRAZEK ŚW. RODZINA 13,5x18 CM",https://wikomistral.ddns.net/Obrazki/6466.3_Nowy obraz 6466zm.jpg,"13,5x18 cm",Mirosilver,23,188.13,376.26,15,Beltrami s.r.l.,,cm,"13,500","18,000",2025-11-01 02:42:15
6466/5,"6466/5 OBRAZ ŚW. RODZINA 18,5x25 CM",https://wikomistral.ddns.net/Obrazki/6466.5_Nowy obraz 6466zm.jpg,"18,5x25 cm",Mirosilver,23,324.84,584.71,1,Beltrami s.r.l.,,cm,"18,500","25,000",2025-11-01 02:42:15
6466/7,6466/7 OBRAZ ŚW. RODZINA 26x36 CM,https://wikomistral.ddns.net/Obrazki/6466.7_Nowy obraz 6466zm.jpg,26x36 cm,Mirosilver,23,626.32,1127.38,15,Beltrami s.r.l.,,cm,"26,000","36,000",2025-11-01 02:42:15
6466SW/3,"6466SW/3 OBRAZEK ŚW. RODZINA 13,5x18 CM",https://wikomistral.ddns.net/Obrazki/6466SW.3_6466S.jpg,"13,5x18 cm",Mirosilver,23,188.13,376.26,23,Beltrami s.r.l.,,cm,"13,500","18,000",2025-11-01 02:42:15
6466SW/5,"6466SW/5 OBRAZ ŚW. RODZINA 18,5x25 CM",https://wikomistral.ddns.net/Obrazki/6466SW.5_6466S.jpg,"18,5x25 cm",Mirosilver,23,324.84,584.71,30,Beltrami s.r.l.,,cm,"18,500","25,000",2025-11-01 02:42:15
6466SW/7,6466SW/7 OBRAZ ŚW. RODZINA 26x36 CM,https://wikomistral.ddns.net/Obrazki/6466SW.7_6466S.jpg,26x36 cm,Mirosilver,23,626.32,1127.38,0,Beltrami s.r.l.,,cm,"26,000","36,000",2025-11-01 02:42:15
6467/2,"6467/2 OBRAZEK MATKA BOŻA 7,5x10 CM",https://wikomistral.ddns.net/Obrazki/6467.2_6467.jpg,"7,5x10 cm",Mirosilver,23,86.47,207.53,19,Beltrami s.r.l.,,cm,"7,500","10,000",2025-11-01 02:42:15
6467/2X,6467/2X OBRAZEK MATKA BOŻA 10x13 CM,https://wikomistral.ddns.net/Obrazki/6467.2X_6467.jpg,10x13 cm,Mirosilver,23,116.85,257.07,22,Beltrami s.r.l.,,cm,"10,000","13,000",2025-11-01 02:42:15
6467/3,"6467/3 OBRAZEK MATKA BOŻA 13,5x18 CM",https://wikomistral.ddns.net/Obrazki/6467.3_6467.jpg,"13,5x18 cm",Mirosilver,23,188.13,376.26,17,Beltrami s.r.l.,,cm,"13,500","18,000",2025-11-01 02:42:15
6468S/2,6468S/2 OBRAZEK ANIOŁKI 6x12 CM,https://wikomistral.ddns.net/Obrazki/6468S.2_6468S.jpg,6x12 cm,Mirosilver,23,86.47,207.53,56,Beltrami s.r.l.,,cm,"6,000","12,000",2025-11-01 02:42:15
6468S/2TP,6468S/2TP OBRAZEK ANIOŁKI 9x15 CM,https://wikomistral.ddns.net/Obrazki/6468S.2TP_6468S-TP.jpg,9x15 cm,Mirosilver,23,93.48,224.35,22,Beltrami s.r.l.,,cm,"9,000","15,000",2025-11-01 02:42:15
6468S/2X,6468S/2X OBRAZEK ANIOŁKI 9x18 CM,https://wikomistral.ddns.net/Obrazki/6468S.2X_6468S.jpg,9x18 cm,Mirosilver,23,142.56,313.63,52,Beltrami s.r.l.,,cm,"9,000","18,000",2025-11-01 02:42:15
6468S/2XTP,6468S/2XTP OBRAZEK ANIOŁKI 13x22 CM,https://wikomistral.ddns.net/Obrazki/6468S.2XTP_6468S-TP.jpg,13x22 cm,Mirosilver,23,158.92,317.84,9,Beltrami s.r.l.,,cm,"13,000","22,000",2025-11-01 02:42:15
6468SF/2,6468SF/2 PANEL ANIOŁKI 14x15 CM,https://wikomistral.ddns.net/Obrazki/6468SF.2_6468SF.jpg,14x15 cm,Mirosilver,23,98.15,235.56,7,Beltrami s.r.l.,,cm,"14,000","15,000",2025-11-01 02:42:15
6468SF/2X,6468SF/2X PANEL ANIOŁKI 21x23 CM,https://wikomistral.ddns.net/Obrazki/6468SF.2X_6468SF.jpg,21x23 cm,Mirosilver,23,169.43,338.86,34,Beltrami s.r.l.,,cm,"21,000","23,000",2025-11-01 02:42:15
6468SP/2A,6468SP/2A PANEL ANIOŁKI 10x15 CM,https://wikomistral.ddns.net/Obrazki/6468SP.2A_6468SP.jpg,10x15 cm,Mirosilver,23,94.65,227.16,26,Beltrami s.r.l.,,cm,"10,000","15,000",2025-11-01 02:42:15
6468SP/2XA,6468SP/2XA PANEL ANIOŁKI 16x24 CM,https://wikomistral.ddns.net/Obrazki/6468SP.2XA_6468SPA.jpg,16x24 cm,Mirosilver,23,164.76,329.52,13,Beltrami s.r.l.,,cm,"16,000","24,000",2025-11-01 02:42:15
6473/2,"6473/2 OBRAZEK ANIOŁEK 7,5x10 CM",https://wikomistral.ddns.net/Obrazki/6473.2_6473.jpg,"7,5x10 cm",Mirosilver,23,86.47,207.53,61,Beltrami s.r.l.,,cm,"7,500","10,000",2025-11-01 02:42:15
6473/2X,"6473/2X OBRAZEK ANIOŁEK 9,5x13 CM",https://wikomistral.ddns.net/Obrazki/6473.2X_6473.jpg,"9,5x13 cm",Mirosilver,23,116.85,257.07,16,Beltrami s.r.l.,,cm,"9,500","13,000",2025-11-01 02:42:15
6473/3,"6473/3 OBRAZEK ANIOŁEK 13,5x18 CM",https://wikomistral.ddns.net/Obrazki/6473.3_6473.jpg,"13,5x18 cm",Mirosilver,23,188.13,376.26,6,Beltrami s.r.l.,,cm,"13,500","18,000",2025-11-01 02:42:15
6473S/2,"6473S/2 OBRAZEK ANIOŁEK 7,5x10 CM",https://wikomistral.ddns.net/Obrazki/6473S.2_6473S.jpg,"7,5x10 cm",Mirosilver,23,86.47,207.53,0,Beltrami s.r.l.,,cm,"7,500","10,000",2025-11-01 02:42:15
6473S/2X,"6473S/2X OBRAZEK ANIOŁEK 9,5x13 CM",https://wikomistral.ddns.net/Obrazki/6473S.2X_6473S.jpg,"9,5x13 cm",Mirosilver,23,116.85,257.07,1017,Beltrami s.r.l.,,cm,"9,500","13,000",2025-11-01 02:42:15
6473S/3,"6473S/3 OBRAZEK ANIOŁEK 13,5x18 CM",https://wikomistral.ddns.net/Obrazki/6473S.3_6473S.jpg,"13,5x18 cm",Mirosilver,23,188.13,376.26,10,Beltrami s.r.l.,,cm,"13,500","18,000",2025-11-01 02:42:15
6473SW/2,"6473SW/2 OBRAZEK ANIOŁEK 7,5x10 CM",https://wikomistral.ddns.net/Obrazki/6473SW.2_6473SW.jpg,"7,5x10 cm",Mirosilver,23,86.47,207.53,3,Beltrami s.r.l.,,cm,"0,000","0,000",2025-11-01 02:42:15
6473SW/2X,"6473SW/2X OBRAZEK ANIOŁEK 9,5x13 CM",https://wikomistral.ddns.net/Obrazki/6473SW.2X_6473SW.jpg,"9,5x13 cm",Mirosilver,23,116.85,257.07,37,Beltrami s.r.l.,,cm,"9,500","13,000",2025-11-01 02:42:15
6473SW/3,"6473SW/3 OBRAZEK ANIOŁEK 13,5x18 CM",https://wikomistral.ddns.net/Obrazki/6473SW.3_6473SW.jpg,"13,5x18 cm",Mirosilver,23,188.13,376.26,4,Beltrami s.r.l.,,cm,"13,500","18,000",2025-11-01 02:42:15
6473SW/5,"6473SW/5 OBRAZ ANIOŁEK 18,5x25 CM",https://wikomistral.ddns.net/Obrazki/6473SW.5_6473SW.jpg,"18,5x25 cm",Mirosilver,23,324.84,584.71,6,Beltrami s.r.l.,,cm,"18,500","25,000",2025-11-01 02:42:15
6488,6488 ALBUM PAMIĄTKA CHRZTU ŚW. 21x15 CM,https://wikomistral.ddns.net/Obrazki/6488_6488.jpg,21x15 cm,Mirosilver,23,67.04,160.90,43,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6491/2A,6491/2A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    6x9 CM,https://wikomistral.ddns.net/Obrazki/6491.2A_6491A.jpg,6x9 cm,Mirosilver,23,46.49,120.87,51,Beltrami s.r.l.,,cm,"6,000","9,000",2025-11-01 02:42:15
6491/2AW,6491/2AW OBRAZEK PAMIĄTKA I KOMUNII ŚW.   8x11 CM,https://wikomistral.ddns.net/Obrazki/6491.2AW_6491AW.jpg,8x11 cm,Mirosilver,23,48.71,126.65,4,Beltrami s.r.l.,,cm,"8,000","11,000",2025-11-01 02:42:15
6491/2O,6491/2O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    6x9 CM,https://wikomistral.ddns.net/Obrazki/6491.2O_6491O.jpg,6x9 cm,Mirosilver,23,46.49,120.87,28,Beltrami s.r.l.,,cm,"6,000","9,000",2025-11-01 02:42:15
6491/2XA,6491/2XA OBRAZEK PAMIĄTKA I KOMUNII ŚW.  9x13 CM,https://wikomistral.ddns.net/Obrazki/6491.2XA_6491A.jpg,9x13 cm,Mirosilver,23,114.51,251.92,79,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
6491/2XO,6491/2XO OBRAZEK PAMIĄTKA I KOMUNII ŚW.  9x13 CM,https://wikomistral.ddns.net/Obrazki/6491.2XO_6491O.jpg,9x13 cm,Mirosilver,23,114.51,251.92,31,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
6493/A,6493/A ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6493.A_6493A.jpg,21x15 cm,Mirosilver,23,60.33,144.79,112,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6493/O,6493/O ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6493.O_6493O.jpg,21x15 cm,Mirosilver,23,60.33,144.79,78,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6497/2,6497/2 OBRAZEK ANIOŁ STRÓŻ 6x12 CM,https://wikomistral.ddns.net/Obrazki/6497.2_zdjęcie 6491.jpg,6x12 cm,Mirosilver,23,72.82,174.77,1,Beltrami s.r.l.,,cm,"6,000","12,000",2025-11-01 02:42:15
6517,6517 ALBUM Z ANIOŁKIEM 21x15 CM,https://wikomistral.ddns.net/Obrazki/6517_6516.6517.jpg,21x15 cm,Mirosilver,23,127.37,280.21,21,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6517/1A,6517/1A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    8x7 CM,https://wikomistral.ddns.net/Obrazki/6517.1A_6517A.jpg,8x7 cm,Mirosilver,23,68.94,165.46,205,Beltrami s.r.l.,,cm,"8,000","7,000",2025-11-01 02:42:15
6517/1AW,6517/1AW OBRAZEK PAMIĄTKA I KOMUNII ŚW.   10x9 CM,https://wikomistral.ddns.net/Obrazki/6517.1AW_6517WA.jpg,10x9 cm,Mirosilver,23,73.62,176.69,161,Beltrami s.r.l.,,cm,"10,000","9,000",2025-11-01 02:42:15
6517/1O,6517/1O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    8x7 CM,https://wikomistral.ddns.net/Obrazki/6517.1O_6517O.jpg,8x7 cm,Mirosilver,23,68.94,165.46,325,Beltrami s.r.l.,,cm,"8,000","7,000",2025-11-01 02:42:15
6517/1OW,6517/1OW OBRAZEK PAMIĄTKA I KOMUNII ŚW.   10x9 CM,https://wikomistral.ddns.net/Obrazki/6517.1OW_6517W.jpg,10x9 cm,Mirosilver,23,73.62,176.69,190,Beltrami s.r.l.,,cm,"10,000","9,000",2025-11-01 02:42:15
6517/2A,"6517/2A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    11x9,5 CM",https://wikomistral.ddns.net/Obrazki/6517.2A_6517A.jpg,"11x9,5 cm",Mirosilver,23,93.48,224.35,96,Beltrami s.r.l.,,cm,"11,000","9,500",2025-11-01 02:42:15
6517/2AW,6517/2AW OBRAZEK PAMIĄTKA I KOMUNII ŚW.   14x12 CM,https://wikomistral.ddns.net/Obrazki/6517.2AW_6517WA.jpg,14x12 cm,Mirosilver,23,100.49,221.08,196,Beltrami s.r.l.,,cm,"14,000","12,000",2025-11-01 02:42:15
6517/2O,"6517/2O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    11x9,5 CM",https://wikomistral.ddns.net/Obrazki/6517.2O_6517O.jpg,"11x9,5 cm",Mirosilver,23,93.48,224.35,121,Beltrami s.r.l.,,cm,"11,000","9,500",2025-11-01 02:42:15
6517/2OW,6517/2OW OBRAZEK PAMIĄTKA I KOMUNII ŚW.   14x12 CM,https://wikomistral.ddns.net/Obrazki/6517.2OW_6517WO.jpg,14x12 cm,Mirosilver,23,100.49,221.08,76,Beltrami s.r.l.,,cm,"14,000","12,000",2025-11-01 02:42:15
6517/3A,"6517/3A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    15,5x14 CM",https://wikomistral.ddns.net/Obrazki/6517.3A_6517A.jpg,"15,5x14 cm",Mirosilver,23,146.06,321.33,12,Beltrami s.r.l.,,cm,"15,500","14,000",2025-11-01 02:42:15
6517/3O,"6517/3O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    15,5x14 CM",https://wikomistral.ddns.net/Obrazki/6517.3O_6517O.jpg,"15,5x14 cm",Mirosilver,23,146.06,321.33,27,Beltrami s.r.l.,,cm,"15,500","14,000",2025-11-01 02:42:15
6518,6518 ALBUM Z ANIOŁKAMI 21x15 CM,https://wikomistral.ddns.net/Obrazki/6518_651888.jpg,21x15 cm,Mirosilver,23,127.37,280.21,18,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6519/2,"6519/2 OBRAZEK ANIOŁKI 7,5x10 CM",https://wikomistral.ddns.net/Obrazki/6519.2_6519.jpg,"7,5x10 cm",Mirosilver,23,72.82,174.77,1,Beltrami s.r.l.,,cm,"0,000","0,000",2025-11-01 02:42:15
6519/2X,6519/2X OBRAZEK ANIOŁKI 10x13 CM,https://wikomistral.ddns.net/Obrazki/6519.2X_6519.jpg,10x13 cm,Mirosilver,23,98.40,236.16,1,Beltrami s.r.l.,,cm,"0,000","0,000",2025-11-01 02:42:15
6520,6520 ALBUM Z ANIOŁKIEM 21x15 CM,https://wikomistral.ddns.net/Obrazki/6520_6520.jpg,21x15 cm,Mirosilver,23,53.63,128.71,5,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6522/2X,6522/2X OBRAZEK JEZUS FRASOBLIWY 9x13 CM,https://wikomistral.ddns.net/Obrazki/6522.2X_6522.jpg,9x13 cm,Mirosilver,23,114.51,251.92,30,Beltrami s.r.l.,Bierzmowanie,cm,"9,000","13,000",2025-11-01 02:42:15
6522/3,6522/3 OBRAZEK JEZUS FRASOBLIWY 13x18 CM,https://wikomistral.ddns.net/Obrazki/6522.3_6522.jpg,13x18 cm,Mirosilver,23,219.68,439.36,18,Beltrami s.r.l.,Bierzmowanie,cm,"13,000","18,000",2025-11-01 02:42:15
6522W/2,6522W/2 PANEL JEZUS PAMIĄTKA 10x15 CM,https://wikomistral.ddns.net/Obrazki/6522W.2_6522W-2X (3).jpg,10x15 cm,Mirosilver,23,80.63,193.51,83,Beltrami s.r.l.,,cm,"10,000","15,000",2025-11-01 02:42:15
6522W/2X,6522W/2X PANEL JEZUS PAMIĄTKA 16x25 CM,https://wikomistral.ddns.net/Obrazki/6522W.2X_6522W-2X (3).jpg,16x25 cm,Mirosilver,23,75.65,181.56,59,Beltrami s.r.l.,,cm,"16,000","25,000",2025-11-01 02:42:15
6522WP/2,6522WP/2 PANEL PAMIĄTKA I KOMUNII         ŚWIĘTEJ 9x12 CM,https://wikomistral.ddns.net/Obrazki/6522WP.2_6522WP.jpg,9x12 cm,Mirosilver,23,80.63,193.51,67,Beltrami s.r.l.,,cm,"9,000","12,000",2025-11-01 02:42:15
6522WP/2X,6522WP/2X PANEL PAMIĄTKA I KOMUNII        ŚWIĘTEJ 13x17 CM,https://wikomistral.ddns.net/Obrazki/6522WP.2X_6522WP.jpg,13x17 cm,Mirosilver,23,60.33,144.79,59,Beltrami s.r.l.,,cm,"13,000","17,000",2025-11-01 02:42:15
6529/15,6529/15 ALBUM Z ANIOŁKIEM 21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.15_6529-15.jpg,21x15 cm,Mirosilver,23,127.37,280.21,12,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/17,6529/17 ALBUM Z ANIOŁKAMI 21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.17_6529-17.jpg,21x15 cm,Mirosilver,23,127.37,280.21,10,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/3,6529/3 ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.3_6529-3.jpg,21x15 cm,Mirosilver,23,67.04,160.90,70,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/31,6529/31 ALBUM ZE ŚW. RODZINĄ 21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.31_6529-31a.jpg,21x15 cm,Mirosilver,23,127.37,280.21,18,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/4,6529/4 ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.4_6529-4.jpg,21x15 cm,Mirosilver,23,67.04,160.90,37,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/46,6529/46 ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.46_6529-46.jpg,21x15 cm,Mirosilver,23,127.37,280.21,28,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/47,6529/47 ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.47_6529-47.jpg,21x15 cm,Mirosilver,23,127.37,280.21,28,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/60,6529/60 ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.60_6529-60.jpg,21x15 cm,Mirosilver,23,127.37,280.21,27,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
6529/61,6529/61 ALBUM PAMIĄTKA I KOMUNII ŚW.  21x15 CM,https://wikomistral.ddns.net/Obrazki/6529.61_6529-61.jpg,21x15 cm,Mirosilver,23,127.37,280.21,29,Beltrami s.r.l.,,cm,"21,000","15,000",2025-11-01 02:42:15
