indeks_katalogowy,nazwa,zdjecie,rozmiar,material,vat,cena_FV_brutto,cena_detal,stan_magazynowy,producent,opis_tekstowy,jednostka_wymiaru,szerokosc,wysokosc,ostatnia_aktualizacja
18031/3XLCOL,18031/3XLCOL OBRAZEK ARCHANIOŁ MICHAŁ  9x15 CM,https://wikomistral.ddns.net/Obrazki/18031.3XLCOL_18031 COL.jpg,9x15 cm,Mirosilver,23,123.00,270.60,8,VALENTI & CO.SRL,,cm,"0,000","0,000",2025-11-01 02:42:15
18045/3L,18045/3L OBRAZEK MATKA BOŻA  CZĘSTOCHOWSKA 9x13 CM,https://wikomistral.ddns.net/Obrazki/18045.3L_18045 3L.jpg,9x13 cm,Mirosilver,23,105.29,231.64,25,VALENTI & CO.SRL,BEZ KAMYCZKÓW OZDOBNYCH,cm,"9,000","13,000",2025-11-01 02:42:15
18045/4L,18045/4L OBRAZEK MATKA BOŻA  CZĘSTOCHOWSKA 13x18 CM,https://wikomistral.ddns.net/Obrazki/18045.4L_18045 3L.jpg,13x18 cm,Mirosilver,23,215.50,431.00,27,VALENTI & CO.SRL,BEZ KAMYCZKÓW OZDOBNYCH,cm,"13,000","18,000",2025-11-01 02:42:15
18045/5L,18045/5L OBRAZ MATKA BOŻA CZĘSTOCHOWSKA   18x24 CM,https://wikomistral.ddns.net/Obrazki/18045.5L_18045.jpg,18x24 cm,Mirosilver,23,389.66,701.39,3,VALENTI & CO.SRL,,cm,"18,000","24,000",2025-11-01 02:42:15
18045/6L,18045/6L OBRAZ MATKA BOŻA CZĘSTOCHOWSKA  22x30 CM,https://wikomistral.ddns.net/Obrazki/18045.6L_18045.jpg,22x30 cm,Mirosilver,23,497.90,896.22,11,VALENTI & CO.SRL,,cm,"22,000","30,000",2025-11-01 02:42:15
21089 C,21089 C KARUZELA Z POZYTYWKĄ h20 CM,https://wikomistral.ddns.net/Obrazki/21089 C_21089 C.jpg,h20 cm,Mirosilver,23,184.99,369.98,11,VALENTI & CO.SRL,,cm,"0,000","20,000",2025-11-01 02:42:15
21089 RA,21089 RA KARUZELA Z POZYTYWKĄ h20 CM,https://wikomistral.ddns.net/Obrazki/21089 RA_21089 RA.jpg,h20 cm,Mirosilver,23,184.99,369.98,8,VALENTI & CO.SRL,,cm,"0,000","20,000",2025-11-01 02:42:15
21099 L,21099 L KARUZELA Z POZYTYWKĄ h20 CM,https://wikomistral.ddns.net/Obrazki/21099 L_21099 M.jpg,h20 cm,Mirosilver,23,176.14,352.28,16,VALENTI & CO.SRL,,cm,"0,000","20,000",2025-11-01 02:42:15
3647 B,"3647 B SKARBONKA DZIECIĘCA 19x7xh11,5 CM",https://wikomistral.ddns.net/Obrazki/3647 B_3647b.jpg,"19x7xh11,5 cm",Mirosilver,23,181.12,362.24,16,Beltrami s.r.l.,,cm,"19,000","11,500",2025-11-01 02:42:15
3647 C,"3647 C SKARBONKA DZIECIĘCA 19x7xh11,5 CM",https://wikomistral.ddns.net/Obrazki/3647 C_3647 zm.jpg,"19x7xh11,5 cm",Mirosilver,23,181.12,362.24,9,Beltrami s.r.l.,,cm,"19,000","11,500",2025-11-01 02:42:15
3647 R,"3647 R SKARBONKA DZIECIĘCA 19x7xh11,5 CM",https://wikomistral.ddns.net/Obrazki/3647 R_3647-ra.jpg,"19x7xh11,5 cm",Mirosilver,23,181.12,362.24,0,Beltrami s.r.l.,,cm,"19,000","11,500",2025-11-01 02:42:15
3857 C,"3857 C SKARBONKA DZIECIĘCA 8x8xh11,5 CM",https://wikomistral.ddns.net/Obrazki/3857 C_3857-C.jpg,"8x8xh11,5 cm",Mirosilver,23,155.41,310.82,0,Beltrami s.r.l.,,cm,"8,000","11,500",2025-11-01 02:42:15
3857 RA,"3857 RA SKARBONKA DZIECIĘCA 8x8xh11,5 CM",https://wikomistral.ddns.net/Obrazki/3857 RA_3857.jpg,"8x8xh11,5 cm",Mirosilver,23,155.41,310.82,0,Beltrami s.r.l.,,cm,"8,000","11,500",2025-11-01 02:42:15
3858/1,3858/1 OBRAZEK ANIOŁEK 5x10 CM,https://wikomistral.ddns.net/Obrazki/3858.1_3858.jpg,5x10 cm,Mirosilver,23,38.13,99.14,14,Beltrami s.r.l.,,cm,"5,000","10,000",2025-11-01 02:42:15
3858/1C,3858/1C OBRAZEK ANIOŁEK 5x10 CM,https://wikomistral.ddns.net/Obrazki/3858.1C_3858_C.jpg,5x10 cm,Mirosilver,23,40.59,105.53,2,Beltrami s.r.l.,,cm,"5,000","10,000",2025-11-01 02:42:15
3858/2,3858/2 OBRAZEK ANIOŁEK 7x14 CM,https://wikomistral.ddns.net/Obrazki/3858.2_3858.jpg,7x14 cm,Mirosilver,23,84.62,203.09,1,Beltrami s.r.l.,,cm,"7,000","14,000",2025-11-01 02:42:15
3858/2C,3858/2C OBRAZEK ANIOŁEK 7x14 CM,https://wikomistral.ddns.net/Obrazki/3858.2C_3858_C.jpg,7x14 cm,Mirosilver,23,89.54,214.90,1,Beltrami s.r.l.,,cm,"7,000","14,000",2025-11-01 02:42:15
51050/3L,51050/3L RAMKA PAMIĄTKA I KOMUNII ŚW.  9x13 CM,https://wikomistral.ddns.net/Obrazki/51050.3L_51050.jpg,9x13 cm,Mirosilver,23,104.06,228.93,2,VALENTI & CO.SRL,,cm,"9,000","13,000",2025-11-01 02:42:15
