indeks_katalogowy,ilosc_wiko,nazwa_produktu,cena_FV_brutto,cena_detal,ostatnia_aktualizacja
6108/44,8,6108/44 OBRAZ W RAMIE ŚW. RODZINA 50x64   CM,830.80,1495.44,2026-02-28 01:35:58
6287/2X,27,6287/2X OBRAZEK JAN PAWEŁ II 9x13 CM,155.41,310.82,2026-02-28 01:35:58
6287/3,8,6287/3 OBRAZEK JAN PAWEŁ II 13x18 CM,236.04,472.08,2026-02-28 01:35:58
6323/2,101,6323/2 OBRAZEK MATKA BOŻA CZĘSTOCHOWSKA   6x9 CM,73.62,176.69,2026-02-28 01:35:58
6323/2ORO,59,6323/2ORO OBRAZEK MATKA BOŻA              CZĘSTOCHOWSKA 6x9 CM,75.95,182.28,2026-02-28 01:35:58
6323/2X,84,6323/2X OBRAZEK MATKA BOŻA CZĘSTOCHOWSKA  9x13 CM,114.51,251.92,2026-02-28 01:35:58
6323/2XORO,46,6323/2XORO OBRAZEK MATKA BOŻA             CZĘSTOCHOWSKA 9x13 CM,135.55,298.21,2026-02-28 01:35:58
6323/3,62,6323/3 OBRAZEK MATKA BOŻA CZĘSTOCHOWSKA  13x18 CM,186.96,373.92,2026-02-28 01:35:58
6323/3ORO,27,6323/3ORO OBRAZEK MATKA BOŻA              CZĘSTOCHOWSKA 13x18 CM,217.34,434.68,2026-02-28 01:35:58
6325/2,2,6325/2 OBRAZEK ANIOŁEK 6x9 CM,38.75,100.75,2026-02-28 01:35:58
6325/2W,1,"6325/2W OBRAZEK ANIOŁEK 7,5x10,5 CM",39.14,101.76,2026-02-28 01:35:58
6342/1A,257,6342/1A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    7x9 CM,71.28,171.07,2026-02-28 01:35:58
6342/1O,43,6342/1O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    7x9 CM,71.28,171.07,2026-02-28 01:35:58
6342/1OW,68,"6342/1OW OBRAZEK PAMIĄTKA I KOMUNII ŚW.  8,5x11 CM",39.36,102.34,2026-02-28 01:35:58
6342/2A,14,6342/2A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    10x13 CM,101.66,223.65,2026-02-28 01:35:58
6342/2O,9,6342/2O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    10x13 CM,101.66,223.65,2026-02-28 01:35:58
6346/2,0,6346/2 OBRAZEK MATKA BOŻA OSTROBRAMSKA    6x9 CM,73.62,176.69,2026-02-28 01:35:58
6346/2X,33,6346/2X OBRAZEK MATKA BOŻA OSTROBRAMSKA  9x13 CM,120.36,264.79,2026-02-28 01:35:58
6346/3,18,6346/3 OBRAZEK MATKA BOŻA OSTROBRAMSKA  13x18 CM,212.67,425.34,2026-02-28 01:35:58
6350/2X,42,6350/2X OBRAZEK MATKA BOŻA NIEUSTAJĄCEJ  POMOCY 9x13 CM,120.36,264.79,2026-02-28 01:35:58
6350/3,14,6350/3 OBRAZEK MATKA BOŻA NIEUSTAJĄCEJ  POMOCY 13x18 CM,212.67,425.34,2026-02-28 01:35:58
6352/2,1,6352/2 OBRAZEK ANIOŁEK 6x9 CM,37.52,97.55,2026-02-28 01:35:58
6353/1,14,6353/1 OBRAZEK ANIOŁEK 7x9 CM,71.28,171.07,2026-02-28 01:35:58
6353/1W,16,"6353/1W OBRAZEK ANIOŁEK 8,5x11 CM",74.78,179.47,2026-02-28 01:35:58
6353/2,15,6353/2 OBRAZEK ANIOŁEK 10x13 CM,101.66,223.65,2026-02-28 01:35:58
6353/2W,18,"6353/2W OBRAZEK ANIOŁEK 11,5x15 CM",109.84,241.65,2026-02-28 01:35:58
6365/2X,56,6365/2X OBRAZEK ŚW. RODZINA 12x12 CM,130.87,287.91,2026-02-28 01:35:58
6379/2X,30,6379/2X OBRAZEK MATKA BOŻA 10x13 CM,101.66,223.65,2026-02-28 01:35:58
6379/3X,18,6379/3X OBRAZEK MATKA BOŻA 13x18 CM,183.45,366.90,2026-02-28 01:35:58
6380/2,552,6380/2 OBRAZEK ŚW. RODZINA 6x12 CM,86.47,207.53,2026-02-28 01:35:58
6380/2TP,37,6380/2TP OBRAZEK ŚW. RODZINA 9x15 CM,93.48,224.35,2026-02-28 01:35:58
6380/2W,0,6380/2W OBRAZEK ŚW. RODZINA 8x14 CM,92.31,221.54,2026-02-28 01:35:58
6380/2WM,10,6380/2WM OBRAZEK ŚW. RODZINA 8x14 CM,92.31,221.54,2026-02-28 01:35:58
6380/2X,259,6380/2X OBRAZEK ŚW. RODZINA 9x18 CM,142.56,313.63,2026-02-28 01:35:58
6380/2XFB,103,6380/2XFB OBRAZEK ŚW. RODZINA 16x25 CM,165.93,331.86,2026-02-28 01:35:58
6380/2XTP,44,6380/2XTP OBRAZEK ŚW. RODZINA 13x22 CM,158.92,317.84,2026-02-28 01:35:58
6380/2XW,0,6380/2XW OBRAZEK ŚW. RODZINA 11x20 CM,155.41,310.82,2026-02-28 01:35:58
6380/2XWM,0,6380/2XWM OBRAZEK ŚW. RODZINA 11x20 CM,155.41,310.82,2026-02-28 01:35:58
6380/3,11,6380/3 OBRAZEK ŚW. RODZINA 12x24 CM,220.85,441.70,2026-02-28 01:35:58
6380/3FB,24,6380/3FB OBRAZEK ŚW. RODZINA 21x33 CM,261.74,471.13,2026-02-28 01:35:58
6380/3TP,29,6380/3TP OBRAZEK ŚW. RODZINA 16x28 CM,246.55,493.10,2026-02-28 01:35:58
6380/3W,23,6380/3W OBRAZEK ŚW. RODZINA 15x27 CM,244.22,488.44,2026-02-28 01:35:58
6380/3WM,11,6380/3WM OBRAZEK ŚW. RODZINA 15x27 CM,244.22,488.44,2026-02-28 01:35:58
6380/5,8,6380/5 OBRAZ ŚW. RODZINA 18x36 CM,445.20,801.36,2026-02-28 01:35:58
6380/5FB,6,6380/5FB OBRAZ ŚW. RODZINA 29x47 CM,525.83,946.49,2026-02-28 01:35:58
6380/5TP,13,6380/5TP OBRAZ ŚW. RODZINA 24x42 CM,502.46,904.43,2026-02-28 01:35:58
6380/7,18,6380/7 OBRAZ ŚW. RODZINA 24x47 CM,749.01,1348.22,2026-02-28 01:35:58
6380F/2X,40,6380F/2X PANEL ŚW. RODZINA 21x23 CM,169.43,338.86,2026-02-28 01:35:58
6380F/3,24,"6380F/3 PANEL ŚW. RODZINA 28x30,5 CM",269.92,485.86,2026-02-28 01:35:58
6380F/5,2,6380F/5 PANEL ŚW. RODZINA 38x46 CM,543.35,978.03,2026-02-28 01:35:58
6380M/2XA,62,6380M/2XA PANEL ŚW. RODZINA 16x24 CM,164.76,329.52,2026-02-28 01:35:58
6380M/3A,15,6380M/3A PANEL ŚW. RODZINA 21x31 CM,258.24,464.83,2026-02-28 01:35:58
6380M/5A,1,6380M/5A PANEL ŚW. RODZINA 31x46 CM,526.99,948.58,2026-02-28 01:35:58
6380P/2XA,54,6380P/2XA PANEL ŚW. RODZINA 16x24 CM,164.76,329.52,2026-02-28 01:35:58
6380P/3A,12,6380P/3A PANEL ŚW. RODZINA 21x31 CM,258.24,464.83,2026-02-28 01:35:58
6380P/5A,8,6380P/5A PANEL ŚW. RODZINA 31x46 CM,526.99,948.58,2026-02-28 01:35:58
6380SFW/2X,15,6380SFW/2X PANEL ŚW. RODZINA 21x23 CM,169.43,338.86,2026-02-28 01:35:58
6380SFW/3,20,"6380SFW/3 PANEL ŚW. RODZINA 28x30,5 CM",269.92,485.86,2026-02-28 01:35:58
